,title,year,budget_2013$,intgross_2013$
247,Mission: Impossible - Ghost Protocol,2011,150175164,719508092.0
248,Moneyball,2011,51784539,115142275.0
249,Mr. Popper&#39;s Penguins,2011,56962993,196392298.0
250,New Year&#39;s Eve,2011,26927960,148791377.0
251,No Strings Attached,2011,25892270,154554145.0
252,October Baby,2011,1035691,5547001.0
253,Our Idiot Brother,2011,5178454,26784257.0
254,Paranormal Activity 3,2011,5178454,214429259.0
255,Paul,2011,41427631,103755310.0
256,Pirates of the Caribbean: On Stranger Tides,2011,258922697,1080913060.0
257,Priest,2011,62141447,87157549.0
258,Puss in Boots,2011,134639802,574795417.0
259,Rango,2011,139818256,254266825.0
260,Real Steel,2011,113925987,303703179.0
261,Red Riding Hood,2011,43499013,93523336.0
262,Red State,2011,4142763,1103455.0
263,Restless,2011,8285526,2918985.0
264,Rio,2011,93212171,504919774.0
265,Rise of the Planet of the Apes,2011,96319243,500093845.0
266,Shame,2011,6731990,11166495.0
267,Snow Flower and the Secret Fan,2011,6214145,11753231.0
268,Soul Surfer,2011,18642434,48841781.0
269,Source Code,2011,33142105,145440503.0
270,Straw Dogs,2011,25892270,11655479.0
271,Sucker Punch,2011,77676809,92961937.0
272,Super 8,2011,51784539,269379017.0
273,Take Shelter,2011,4919531,3240628.0
274,The Adjustment Bureau,2011,51991677,132354553.0
275,The Adventures of Tintin,2011,134639802,387342089.0
276,The Artist,2011,16571053,132834295.0
277,The Best Exotic Marigold Hotel,2011,10356908,139537943.0
278,The Cabin in the Woods,2011,31070724,73293915.0
279,The Darkest Hour,2011,36042039,65074228.0
280,The Divide,2011,3107072,18642.0
281,The Future,2011,1035691,588958.0
282,The Girl with the Dragon Tattoo,2011,93212171,241492267.0
283,The Green Hornet,2011,113925987,236120048.0
284,The Guard,2011,6214145,16513705.0
285,The Help,2011,25892270,220726425.0
286,The Iron Lady,2011,14499671,119717677.0
287,The Lincoln Lawyer,2011,41427631,90255363.0
288,The Mechanic,2011,44016858,79072292.0
289,The Muppets,2011,46606085,166717137.0
290,The Rite,2011,38320559,99475649.0
291,The Roommate,2011,16571053,41942847.0
292,The Smurfs,2011,113925987,583162839.0
293,The Three Musketeers,2011,93212171,144870266.0
294,The Tree of Life,2011,36249178,64529403.0
295,The Twilight Saga: Breaking Dawn - Part 1,2011,132050575,735276926.0
296,Thor,2011,155353618,465363438.0
297,Tinker Tailor Soldier Spy,2011,21749507,84359926.0
298,Tower Heist,2011,88033717,158947830.0
299,Transformers: Dark of the Moon,2011,201959703,1163903170.0
300,War Horse,2011,72498355,162412399.0
301,Warrior,2011,25892270,25079651.0
302,We Bought a Zoo,2011,51784539,123169061.0
303,Weekend,2011,196781,1633890.0
304,What&#39;s Your Number,2011,20713816,31807187.0
305,Winnie the Pooh,2011,31070724,51935343.0
306,X-Men: First Class,2011,165710526,368093107.0
307,Young Adult,2011,12428289,23562334.0
308,Your Sister&#39;s Sister,2011,124283,3200899.0
309,127 Hours,2010,19228173,64879307.0
310,Alice in Wonderland,2010,213646368,1094287202.0
311,Animal Kingdom,2010,4486574,8629906.0
312,Another Year,2010,8545855,19768384.0
313,Barney&#39;s Version,2010,32046955,9449125.0
314,Beginners,2010,3418342,12353318.0
315,Biutiful,2010,37388114,26813941.0
316,Black Swan,2010,13887014,353869648.0
317,Blue Valentine,2010,1068232,17696585.0
318,Burlesque,2010,58752751,95774887.0
319,Casino Jack,2010,13352898,2222851.0
320,Centurion,2010,16023478,7075508.0
