,year,budget_2013$
796,2006,34673890
797,2006,268144752
798,2006,34673890
799,2006,52010836
800,2006,60101410
801,2006,144474543
802,2006,3814128
803,2006,104021671
804,2006,40452872
805,2006,40452872
806,2006,23115927
807,2006,4276446
808,2006,98242689
809,2006,57789817
810,2006,19070640
811,2006,46231854
812,2006,22422449
813,2006,46231854
814,2006,63568799
815,2006,17336945
816,2006,9593110
817,2006,34673890
818,2006,10864486
819,2006,75126763
820,2006,17336945
821,2006,1155796
822,2006,242717233
823,2006,62413003
824,2006,40452872
825,2006,25427520
826,2005,65616822
827,2005,35790994
828,2005,178954969
829,2005,29825828
830,2005,95442650
831,2005,29825828
832,2005,23860663
833,2005,3459796
834,2005,536865
835,2005,16583160
836,2005,8351232
837,2005,178954969
838,2005,5368649
839,2005,104986915
840,2005,53686491
841,2005,89477485
842,2005,536865
843,2005,35790994
844,2005,41756160
845,2005,51300425
846,2005,71581988
847,2005,9544265
848,2005,59651656
849,2005,83512319
850,2005,104390399
851,2005,65616822
852,2005,167024638
853,2005,8351232
854,2005,1133381
855,2005,178954969
856,2005,59651656
857,2005,29825828
858,2005,65616822
859,2005,20878080
860,2005,5726559
861,2005,3340493
862,2005,29825828
863,2005,85898385
864,2005,1193033
865,2005,69195921
866,2005,246957858
867,2005,131233644
868,2005,17895497
869,2005,50107391
870,2005,89477485
871,2005,59651656
872,2005,17895497
873,2005,2386066
874,2005,101407816
875,2005,4772133
876,2005,71581988
877,2005,131233644
878,2005,89477485
879,2005,35790994
880,2005,77547153
881,2005,33404928
882,2005,23860663
883,2005,31018861
884,2005,47721325
885,2005,95442650
886,2005,5965166
887,2005,46528292
888,2005,8947748
889,2005,47721325
890,2005,357910
891,2005,71581988
892,2005,119303313
893,2005,137198810
894,2005,164638572
895,2005,2386066
896,2005,8947748
897,2005,31018861
898,2005,59651656
899,2005,22071113
900,2005,1789550
901,2005,214745963
902,2005,30422345
903,2005,8351232
904,2005,8351232
905,2005,21474596
906,2005,21474596
907,2005,53686491
908,2005,143163975
909,2005,34001444
910,2005,95442650
911,2005,35790994
912,2005,59651656
913,2005,47721325
914,2005,1789550
915,2005,17895497
916,2005,1193033
917,2005,5666907
918,2005,59651656
919,2005,1342162
920,2005,34597961
921,2005,157480373
922,2005,3579099
923,2005,11930331
924,2005,53686491
925,2005,77547153
926,2004,36995786
927,2004,14798315
928,2004,92489466
929,2004,23430665
930,2004,8015754
931,2004,67825608
932,2004,30829822
933,2004,135651216
934,2004,86323501
935,2004,18497893
936,2004,2466386
937,2004,61659644
938,2004,123319288
939,2004,55493679
940,2004,43161751
941,2004,73991573
942,2004,24663858
943,2004,9006109
944,2004,4316175
945,2004,34529401
946,2004,36995786
947,2004,43161751
948,2004,24663858
949,2004,12331929
950,2004,30829822
951,2004,92489466
952,2004,3082982
953,2004,11098736
954,2004,160315074
955,2004,73991573
956,2004,135651216
957,2004,27130243
958,2004,129485252
959,2004,32063015
960,2004,13565122
961,2004,24663858
962,2004,8015754
963,2004,123319288
964,2004,3946217
965,2004,22197472
966,2004,36995786
967,2004,34529401
968,2004,2096428
969,2004,493277
970,2004,49327715
971,2004,8632
972,2004,61659644
973,2004,49327715
974,2004,61659644
975,2004,6165964
976,2004,1479831
977,2004,49327715
978,2004,92489466
979,2004,6165964
980,2004,86323501
981,2004,20964279
982,2004,86323501
983,2004,92489466
984,2004,246638575
985,2004,24663858
986,2004,135651216
987,2004,104821395
988,2004,16031507
989,2004,147983145
990,2004,154149110
991,2004,12331929
992,2004,113453745
993,2004,61659644
994,2004,36995786
995,2004,67825608
996,2004,209642789
997,2004,55493679
998,2004,123319288
999,2004,92489466
1000,2004,88398934
1001,2004,36995786
1002,2004,184978932
1003,2004,209642789
1004,2004,13565122
1005,2004,24663858
1006,2004,43161751
1007,2003,96222609
1008,2003,25321739
1009,2003,88626087
1010,2003,25321739
1011,2003,102553043
1012,2003,151930435
1013,2003,101286957
1014,2003,31652174
1015,2003,75965217
1016,2003,101286957
1017,2003,8862609
1018,2003,86093913
1019,2003,32918261
1020,2003,119012174
1021,2003,32918261
1022,2003,15193043
1023,2003,8102957
1024,2003,25321739
1025,2003,94956522
1026,2003,20890435
1027,2003,63304348
1028,2003,173453913
1029,2003,35450435
1030,2003,15193043
1031,2003,31652174
1032,2003,69634783
1033,2003,113947826
1034,2003,31652174
1035,2003,2532174
1036,2003,5064348
1037,2003,56973913
1038,2003,170921739
1039,2003,82295652
1040,2003,6330435
1041,2003,37982609
1042,2003,126608696
1043,2003,158260870
1044,2003,35450435
1045,2003,88626087
1046,2003,56973913
1047,2003,37982609
1048,2003,63304348
1049,2003,7596522
1050,2003,75965217
1051,2003,101286957
1052,2003,50643478
1053,2003,9875478
1054,2003,215234783
1055,2003,107617391
1056,2003,75965217
1057,2003,25321739
1058,2003,177252174
1059,2003,98754783
1060,2003,119012174
1061,2003,160793043
1062,2003,139269565
1063,2003,82295652
1064,2003,25321739
1065,2003,2532174
1066,2003,101286957
1067,2003,949565
1068,2003,27853913
1069,2003,12660870
1070,2003,158260870
1071,2002,5828306
1072,2002,10361434
1073,2002,10361434
1074,2002,53102348
1075,2002,38855376
1076,2002,23960815
1077,2002,11656613
1078,2002,16189740
1079,2002,81596291
1080,2002,7253004
1081,2002,69939678
1082,2002,38855376
1083,2002,1942769
1084,2002,38855376
1085,2002,67349319
1086,2002,38855376
1087,2002,15542151
1088,2002,64758961
1089,2002,183915449
1090,2002,25903584
1091,2002,25903584
1092,2002,17484919
1093,2002,15542151
1094,2002,38855
1095,2002,125632384
1096,2002,9066255
1097,2002,129517922
1098,2002,54397527
1099,2002,90662545
1100,2002,84186649
1101,2002,11656613
1102,2002,59578244
1103,2002,103614337
1104,2002,71234857
1105,2002,2266564
1106,2002,181325090
1107,2002,132108280
1108,2002,64758961
1109,2002,6475896
1110,2002,62168602
1111,2002,14246971
1112,2002,45331273
1113,2002,9066255
1114,2002,3885538
1115,2002,101023979
1116,2002,77710753
1117,2002,45331273
1118,2002,108795054
1119,2002,91572563
1120,2002,41445735
1121,2002,60873423
