,dbn,name,num_test_takers,boro,total_students,graduation_rate,attendance_rate,college_career_rate,reading_avg,math_avg,writing_score
265,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119.0,K,942,0.85,0.87,0.65,429.0,449.0,435.0
266,21K728,LIBERATION DIPLOMA PLUS,10.0,K,225,,0.53,,411.0,369.0,373.0
267,22K405,MIDWOOD HIGH SCHOOL,824.0,K,4058,0.9,0.92,0.81,478.0,519.0,476.0
268,22K425,JAMES MADISON HIGH SCHOOL,518.0,K,3657,0.83,0.94,0.64,436.0,475.0,439.0
269,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259.0,K,1011,0.94,0.96,0.75,524.0,561.0,542.0
270,22K555,BROOKLYN COLLEGE ACADEMY,131.0,K,622,0.98,0.95,0.95,456.0,456.0,440.0
271,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60.0,K,271,0.63,0.85,0.5,389.0,409.0,387.0
272,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,K,157,0.66,0.82,0.37,361.0,371.0,359.0
273,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17.0,K,217,,0.66,,350.0,346.0,332.0
274,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.0,K,250,0.69,0.8,0.49,392.0,416.0,388.0
275,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89.0,Q,598,0.94,0.93,0.77,405.0,454.0,421.0
276,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39.0,Q,417,0.82,0.89,0.65,406.0,413.0,400.0
277,24Q293,CIVIC LEADERSHIP ACADEMY,69.0,Q,529,0.96,0.9,0.76,404.0,429.0,407.0
278,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55.0,Q,449,0.9,0.92,0.35,317.0,323.0,311.0
279,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155.0,Q,623,0.99,0.97,0.94,545.0,568.0,550.0
280,24Q455,NEWTOWN HIGH SCHOOL,320.0,Q,1921,0.71,0.9,0.49,383.0,440.0,380.0
281,24Q485,GROVER CLEVELAND HIGH SCHOOL,241.0,Q,1775,0.63,0.83,0.43,395.0,420.0,396.0
282,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58.0,Q,510,0.73,0.92,0.77,399.0,393.0,385.0
283,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69.0,Q,527,0.83,0.92,0.8,326.0,409.0,329.0
284,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138.0,Q,812,0.9,0.92,0.68,391.0,403.0,380.0
